Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-09-08,19289.94140625,19417.3515625,19076.71484375,19329.833984375,32194477850,20,-0.4423,3.2046666666666666e-05,18547.400390625,-0.0404780296810862,0
2022-09-09,19328.140625,21439.41015625,19310.962890625,21381.15234375,48469528171,22,-0.5129,7.104000000000001e-05,18547.400390625,-0.1325350433674518,1
2022-09-10,21376.912109375,21760.275390625,21168.72265625,21680.5390625,36913738894,28,-0.5481,9.921333333333332e-05,18547.400390625,-0.1445138731487664,1
2022-09-11,21678.54296875,21770.552734375,21406.9453125,21769.255859375,34493951963,26,-0.292,7.942333333333334e-05,18547.400390625,-0.1480002573152953,1
2022-09-12,21770.1484375,22439.181640625,21603.896484375,22370.44921875,50212088965,25,-1.3136,9.415333333333334e-05,18547.400390625,-0.17089727572035862,1
2022-09-13,22371.48046875,22673.8203125,20062.669921875,20296.70703125,51091116622,34,-1.6288,9.988333333333333e-05,18547.400390625,-0.08618672171459464,0
2022-09-14,20184.5546875,20467.201171875,19793.396484375,20241.08984375,37872380889,27,-1.8644,-7.406666666666667e-06,18547.400390625,-0.08367580333862179,0
2022-09-15,20242.2890625,20318.166015625,19636.734375,19701.2109375,36389011503,28,-0.1211,3.712333333333334e-05,18547.400390625,-0.05856546333803244,0
2022-09-16,19704.005859375,19870.62890625,19400.076171875,19772.583984375,30123362273,20,-1.031,5.1076666666666665e-05,18547.400390625,-0.06196375722658119,0
2022-09-17,19777.033203125,20162.53125,19777.033203125,20127.576171875,24957448100,22,-0.7487,2.942333333333333e-05,18547.400390625,-0.07850800154755035,0
2022-09-18,20127.234375,20127.234375,19387.4921875,19419.505859375,31254779144,27,-0.2357,5.9373333333333336e-05,18547.400390625,-0.044908736353298125,0
2022-09-19,19418.572265625,19639.48046875,18390.318359375,19544.12890625,40177002624,21,-1.0952,-1.7026666666666667e-05,18547.400390625,-0.05099887134423561,0
2022-09-20,19545.591796875,19602.45703125,18813.455078125,18890.7890625,36791346508,23,-0.4579,5.1296666666666666e-05,18547.400390625,-0.018177571658806933,0
2022-09-21,18891.283203125,19674.630859375,18290.314453125,18547.400390625,46363793975,23,-0.956,3.131666666666667e-05,18802.09765625,0.013732235259974206,0
2022-09-22,18534.650390625,19456.91015625,18415.591796875,19413.55078125,41135767926,22,-0.7532,-3.649e-05,18802.09765625,-0.031496202414993235,0
2022-09-23,19412.400390625,19464.671875,18617.552734375,19297.638671875,38896078052,20,-1.3276,1.7373333333333332e-05,18802.09765625,-0.025678842062019612,0
2022-09-24,19296.990234375,19310.197265625,18861.974609375,18937.01171875,26149643168,24,-0.6159,3.3226666666666665e-05,18802.09765625,-0.007124358610731506,0
2022-09-25,18936.310546875,19134.732421875,18696.46875,18802.09765625,23359966112,24,-0.117,2.415e-05,19044.107421875,0.012871423712904374,0
2022-09-26,18803.900390625,19274.873046875,18721.28515625,19222.671875,44148798321,21,-0.8603,2.511e-05,19044.107421875,-0.00928926292276942,0
